title,movie_rating,release_date,genre_name,director,writer,actors,imdb_rating,box_office,run_time
The Twilight Saga: New Moon,PG-13,2009-11-20,Adventure,Chris Weitz,Melissa Rosenberg,Kristen Stewart,4.7,50000000.0,130.0
Antichrist,Not Rated,2009-05-20,Drama,Lars von Trier,Lars von Trier,Willem Dafoe,6.6,11000000.0,108.0
Friday the 13th,R,2009-02-13,Horror,Marcus Nispel,Victor Miller,Jared Padalecki,5.5,19000000.0,97.0
The Princess and the Frog,G,2009-12-11,Animation,Ron Clements,Ron Clements,Anika Noni Rose,7.1,105000000.0,97.0
Terminator Salvation,PG-13,2009-05-21,Action,McG,John Brancato,Christian Bale,6.5,200000000.0,115.0
Coraline,PG,2009-02-06,Animation,Henry Selick,Henry Selick,Dakota Fanning,7.7,60000000.0,100.0
Moon,R,2009-07-10,Drama,Duncan Jones,Duncan Jones,Sam Rockwell,7.8,5000000.0,97.0
"I Love You, Man",R,2009-03-20,Comedy,John Hamburg,John Hamburg,Paul Rudd,7.0,40000000.0,105.0
Public Enemies,R,2009-07-01,Biography,Michael Mann,Ronan Bennett,Christian Bale,7.0,100000000.0,140.0
The Human Centipede (First Sequence),R,2010-04-28,Horror,Tom Six,Tom Six,Dieter Laser,4.4,0.0,92.0
Law Abiding Citizen,R,2009-10-16,Action,F. Gary Gray,Kurt Wimmer,Gerard Butler,7.4,50000000.0,109.0
The Proposal,PG-13,2009-06-19,Comedy,Anne Fletcher,Peter Chiarelli,Sandra Bullock,6.7,40000000.0,108.0
Mr. Nobody,R,2013-09-26,Drama,Jaco Van Dormael,Jaco Van Dormael,Jared Leto,7.8,47000000.0,141.0
Enter the Void,Not Rated,2010-05-05,Drama,Gaspar Noé,Gaspar Noé,Nathaniel Brown,7.3,16000000.0,161.0
17 Again,PG-13,2009-04-17,Comedy,Burr Steers,Jason Filardi,Zac Efron,6.4,20000000.0,102.0
Knowing,PG-13,2009-03-20,Action,Alex Proyas,Ryne Douglas Pearson,Nicolas Cage,6.2,50000000.0,121.0
Fired Up!,PG-13,2009-02-20,Comedy,Will Gluck,Will Gluck,Eric Christian Olsen,6.1,20000000.0,90.0
Dogtooth,Not Rated,2009-11-11,Drama,Yorgos Lanthimos,Efthymis Filippou,Christos Stergioglou,7.2,0.0,97.0
Angels & Demons,PG-13,2009-05-15,Action,Ron Howard,David Koepp,Tom Hanks,6.7,150000000.0,138.0
The Road,R,2009-11-25,Drama,John Hillcoat,Joe Penhall,Viggo Mortensen,7.2,25000000.0,111.0
Whip It,PG-13,2009-10-02,Drama,Drew Barrymore,Shauna Cross,Elliot Page,6.9,15000000.0,111.0
The Secret in Their Eyes,R,2010-05-21,Drama,Juan José Campanella,Eduardo Sacheri,Ricardo Darín,8.2,2000000.0,129.0
Pandorum,R,2009-09-25,Action,Christian Alvart,Travis Milloy,Dennis Quaid,6.7,33000000.0,108.0
Monsters vs. Aliens,PG,2009-03-27,Animation,Rob Letterman,Maya Forbes,Reese Witherspoon,6.4,175000000.0,94.0
Underworld: Rise of the Lycans,R,2009-01-23,Action,Patrick Tatopoulos,Danny McBride,Rhona Mitra,6.6,35000000.0,92.0
Couples Retreat,PG-13,2009-10-09,Comedy,Peter Billingsley,Jon Favreau,Vince Vaughn,5.5,70000000.0,113.0
Ondine,PG-13,2010-03-05,Drama,Neil Jordan,Neil Jordan,Colin Farrell,6.8,12000000.0,111.0
Drag Me to Hell,PG-13,2009-05-29,Horror,Sam Raimi,Sam Raimi,Alison Lohman,6.5,30000000.0,99.0
