name,rating,genre,score,director,writer,star,budget,Run,released
D.A.R.Y.L.,PG,Family,6.3,Simon Wincer,David Ambrose,Mary Beth Hurt,0.0,99.0,1985-06-14
Mishima: A Life in Four Chapters,R,Biography,8.0,Paul Schrader,Paul Schrader,Ken Ogata,5000000.0,120.0,1985-09-20
A Chorus Line,PG-13,Drama,6.2,Richard Attenborough,Arnold Schulman,Michael Douglas,27000000.0,113.0,1985-12-20
Cat's Eye,PG-13,Comedy,6.3,Lewis Teague,Stephen King,Drew Barrymore,7000000.0,94.0,1985-04-12
Murphy's Romance,PG-13,Comedy,7.0,Martin Ritt,Max Schott,Sally Field,13000000.0,107.0,1986-01-31
Heaven Help Us,R,Comedy,6.9,Michael Dinner,Charles Purpura,Donald Sutherland,0.0,104.0,1985-02-08
American Flyers,PG-13,Drama,6.5,John Badham,Steve Tesich,Kevin Costner,0.0,113.0,1985-08-16
The Journey of Natty Gann,PG,Adventure,7.0,Jeremy Kagan,Jeanne Rosenberg,Meredith Salenger,0.0,101.0,1985-09-27
Trouble in Mind,R,Comedy,6.5,Alan Rudolph,Alan Rudolph,Kris Kristofferson,0.0,111.0,1986-03-01
Fandango,PG,Comedy,6.7,Kevin Reynolds,Kevin Reynolds,Kevin Costner,7000000.0,91.0,1985-01-25
Gotcha!,PG-13,Action,6.2,Jeff Kanew,Paul G. Hensler,Anthony Edwards,0.0,101.0,1985-05-03
Death Wish 3,R,Action,5.9,Michael Winner,Don Jakoby,Charles Bronson,9000000.0,92.0,1985-11-01
King Solomon's Mines,PG-13,Action,5.2,J. Lee Thompson,H. Rider Haggard,Richard Chamberlain,12500000.0,100.0,1985-11-22
American Warrior,R,Action,5.5,Sam Firstenberg,Paul De Mielche,Michael Dudikoff,1000000.0,95.0,1985-08-30
The Emerald Forest,R,Action,6.9,John Boorman,Rospo Pallenberg,Powers Boothe,0.0,114.0,1985-07-03
The Holcroft Covenant,R,Action,5.7,John Frankenheimer,Robert Ludlum,Michael Caine,0.0,112.0,1985-10-18
The Falcon and the Snowman,R,Biography,6.8,John Schlesinger,Robert Lindsey,Timothy Hutton,12000000.0,131.0,1985-02-08
Transylvania 6-5000,PG,Comedy,5.0,Rudy De Luca,Rudy De Luca,Jeff Goldblum,3000000.0,93.0,1985-11-08
Desert Hearts,R,Drama,7.0,Donna Deitch,Jane Rule,Helen Shaver,1250000.0,91.0,1986-03-07
The Heavenly Kid,PG-13,Comedy,6.3,Cary Medoway,Cary Medoway,Lewis Smith,0.0,90.0,1985-07-26
The Purple Rose of Cairo,PG,Comedy,7.7,Woody Allen,Woody Allen,Mia Farrow,15000000.0,82.0,1985-04-19
The Man with One Red Shoe,PG,Comedy,5.7,Stan Dragoti,Francis Veber,Tom Hanks,16000000.0,92.0,1985-07-19
My Life as a Dog,Unrated,Drama,7.6,Lasse Hallström,Reidar Jönsson,Anton Glanzelius,0.0,101.0,1987-05-01
My Science Project,PG,Action,6.0,Jonathan R. Betuel,Jonathan R. Betuel,John Stockwell,0.0,94.0,1985-08-09
Seven Minutes in Heaven,PG-13,Comedy,6.1,Linda Feferman,Jane Bernstein,Jennifer Connelly,0.0,88.0,1985-05-09
Fraternity Vacation,R,Comedy,5.3,James Frawley,Lindsay Harrison,Stephen Geoffreys,0.0,94.0,1985-04-12
The New Kids,R,Crime,6.1,Sean S. Cunningham,Stephen Gyllenhaal,Shannon Presby,0.0,110.0,1985-01-18
Tomboy,R,Comedy,4.7,Herb Freed,Ben Zelig,Betsy Russell,0.0,91.0,1985-11-14
Invasion U.S.A.,R,Action,5.5,Joseph Zito,James Bruner,Chuck Norris,10000000.0,107.0,1985-09-27
Revolution,PG,Adventure,5.3,Hugh Hudson,Robert Dillon,Al Pacino,28000000.0,126.0,1985-12-25
Lost in America,R,Comedy,7.0,Albert Brooks,Albert Brooks,Albert Brooks,0.0,91.0,1985-02-08
Subway,R,Thriller,6.6,Luc Besson,Luc Besson,Christopher Lambert,0.0,104.0,1985-11-06
Moving Violations,PG-13,Comedy,5.7,Neal Israel,Neal Israel,John Murray,0.0,90.0,1985-04-19
Nomads,R,Horror,5.3,John McTiernan,John McTiernan,Lesley-Anne Down,0.0,91.0,1986-03-07
Fool for Love,R,Drama,6.1,Robert Altman,Sam Shepard,Sam Shepard,0.0,106.0,1986-05-14
Baby: Secret of the Lost Legend,PG,Adventure,5.1,Bill Norton,Clifford Green,William Katt,0.0,95.0,1985-03-22
Code of Silence,R,Action,6.1,Andrew Davis,Michael Butler,Chuck Norris,7000000.0,101.0,1985-05-03
Crimewave,PG-13,Comedy,5.7,Sam Raimi,Ethan Coen,Louise Lasser,3000000.0,83.0,1986-04-25
Gymkata,R,Action,4.4,Robert Clouse,Charles Robert Carner,Kurt Thomas,0.0,90.0,1985-05-03
Sweet Dreams,PG-13,Biography,7.1,Karel Reisz,Robert Getchell,Jessica Lange,0.0,115.0,1985-10-11
The Slugger's Wife,PG-13,Comedy,4.5,Hal Ashby,Neil Simon,Michael O'Keefe,0.0,105.0,1985-03-29
Avenging Angel,R,Action,4.8,Robert Vincent O'Neil,Robert Vincent O'Neil,Betsy Russell,0.0,93.0,1985-01-11
Santa Claus: The Movie,PG,Adventure,6.3,Jeannot Szwarc,David Newman,Dudley Moore,50000000.0,107.0,1985-11-27
That Was Then... This Is Now,R,Crime,6.2,Christopher Cain,S.E. Hinton,Emilio Estevez,0.0,102.0,1985-11-08
Agnes of God,PG-13,Drama,6.6,Norman Jewison,John Pielmeier,Jane Fonda,10000000.0,98.0,1985-09-27
Rustlers' Rhapsody,PG,Comedy,6.5,Hugh Wilson,Hugh Wilson,Tom Berenger,0.0,88.0,1985-05-10
The Adventures of Mark Twain,G,Animation,7.4,Will Vinton,Susan Shadburne,James Whitmore,0.0,86.0,1985-07-26
Stick,R,Action,5.7,Burt Reynolds,Elmore Leonard,Burt Reynolds,22000000.0,109.0,1985-04-26
The Bride,PG-13,Fantasy,5.3,Franc Roddam,Lloyd Fonvielle,Sting,13000000.0,118.0,1985-08-16
Morons from Outer Space,PG-13,Comedy,4.5,Mike Hodges,Griff Rhys Jones,Mel Smith,0.0,90.0,1985-09-20
Godzilla 1985,PG,Action,6.2,Directors,Reuben Bercovitch,Raymond Burr,2000000.0,87.0,1985-08-23
Plenty,R,Drama,6.0,Fred Schepisi,David Hare,Meryl Streep,10000000.0,121.0,1985-09-20
King David,PG-13,Adventure,5.3,Bruce Beresford,Andrew Birkin,Richard Gere,22000000.0,114.0,1985-03-29
